version,objetivo_origen_id,objetivo_origen,frecuencia_ejercicios,accion,categoria_destino,objetivo_destino_1,objetivo_destino_2,objetivo_destino_3,contexto,formato,confianza,estado_revision,motivo
"v2","1","Apoyos","3","UNIFICAR","TO","Apoyo","","","","","ALTA","PROPUESTO","Normalización a singular profesional sin pérdida semántica."
"v2","2","Líneas de pase","17","MANTENER","TO","Líneas de pase","","","","","ALTA","PROPUESTO","Concepto ofensivo válido y ya normalizado."
"v2","3","Movilidad sin balón","2","REVISAR","","","","","","","BAJA","PENDIENTE","Debe decidirse si se mantiene separado de Movilidad y Movilidad ofensiva."
"v2","4","Crear líneas de pase","18","UNIFICAR","TO","Creación de líneas de pase","","","","","ALTA","PROPUESTO","Se conserva el concepto con denominación nominal profesional."
"v2","5","Mejora técnica del control y el pase","20","DIVIDIR","TEC","Control","Pase","","","","ALTA","PROPUESTO","Objetivo compuesto; se conservan sus dos componentes técnicos."
"v2","6","Conservación de balón","58","REVISAR","","","","","","","MEDIA","PENDIENTE","Debe decidirse su relación exacta con Posesión antes de migrar."
"v2","7","Cerrar líneas de pase","37","UNIFICAR","TD","Cierre de líneas de pase","","","","","ALTA","PROPUESTO","Se conserva el concepto con denominación nominal profesional."
"v2","8","Buscar líneas de pase","1","UNIFICAR","TO","Creación de líneas de pase","","","","","ALTA","PROPUESTO","Equivale a generar líneas de pase disponibles."
"v2","11","En caso de robo, generar un 3 vs 2 contra miniporterías","1","REUBICAR","TRA","Contraataque tras recuperación","","","3 contra 2","Miniporterías","ALTA","PROPUESTO","Se separa el objetivo transicional del contexto numérico y el formato de finalización."
"v2","12","Progresión","4","MANTENER","TO","Progresión","","","","","ALTA","PROPUESTO","Concepto ofensivo válido y ya normalizado."
"v2","13","Si hay robo, juego al lado contrario","1","REUBICAR","TRA","Cambio de orientación tras recuperación","","","Lado contrario","","ALTA","PROPUESTO","Se extrae la acción transicional y se conserva la referencia espacial como contexto."
"v2","14","Pressing","4","UNIFICAR","TD","Presión","","","","","ALTA","PROPUESTO","Unificación del anglicismo con el término profesional en español."
"v2","16","Robar y progresar","1","DIVIDIR","TRA","Recuperación","Progresión tras recuperación","","","","ALTA","PROPUESTO","Objetivo compuesto; se preservan recuperación y progresión posterior."
"v2","19","Sacar de zona","6","REVISAR","","","","","","","BAJA","PENDIENTE","El significado cambia según ejercicio y rol; requiere decisión por ejercicio."
"v2","22","Orientación de la presión","5","MANTENER","TD","Orientación de la presión","","","","","ALTA","PROPUESTO","Concepto defensivo específico y ya normalizado."
"v2","23","Pases interiores","10","UNIFICAR","TO","Pase interior","","","","","ALTA","PROPUESTO","Normalización a la acción ofensiva singular."
"v2","24","Buscar líneas de pase (sobre todo interiores)","1","UNIFICAR","TO","Creación de líneas de pase interiores","","","","","ALTA","PROPUESTO","La precisión entre paréntesis identifica creación de líneas interiores."
"v2","25","Lograr llevar el balón de extremo a extremo","1","UNIFICAR","TO","Progresión longitudinal","","","","","ALTA","PROPUESTO","Se sustituye la frase instructiva por el concepto táctico equivalente."
"v2","26","Cerrar líneas de pase interiores","1","UNIFICAR","TD","Cierre de líneas de pase interiores","","","","","ALTA","PROPUESTO","Se conserva el concepto con denominación nominal profesional."
"v2","27","Presión alta","1","REVISAR","","","","","","","MEDIA","PENDIENTE","Debe decidirse su frontera con Presión en campo rival."
"v2","28","Recuperación de balón y juego al más alejado","1","DIVIDIR","TRA","Recuperación","Primer pase tras recuperación","","Jugador más alejado","","MEDIA","PROPUESTO","Se preservan recuperación y primer pase; el destinatario se conserva como contexto."
"v2","30","Evitar pases interiores","2","UNIFICAR","TD","Cierre de líneas de pase interiores","","","","","ALTA","PROPUESTO","Equivale al principio defensivo de cerrar líneas interiores."
"v2","31","Apoyos constantes","1","UNIFICAR","TO","Apoyo","","","","","MEDIA","PROPUESTO","La constancia matiza la ejecución pero el objetivo base es el apoyo."
"v2","32","Robo y juego","1","DIVIDIR","TRA","Recuperación","Juego tras recuperación","","","","MEDIA","PROPUESTO","Objetivo compuesto; conserva el robo y la acción inmediatamente posterior."
"v2","33","Buscar pases interiores","1","UNIFICAR","TO","Pase interior","","","","","ALTA","PROPUESTO","Se normaliza la frase al objetivo ofensivo Pase interior."
"v2","35","Si robo, juego al triángulo contrario","1","REUBICAR","TRA","Cambio de orientación tras recuperación","","","Triángulo contrario","","ALTA","PROPUESTO","Se extrae el cambio de orientación y se conserva el triángulo como contexto."
"v2","36","Toma de decisiones","4","MANTENER","COG","Toma de decisiones","","","","","ALTA","PROPUESTO","Concepto cognitivo válido y ya normalizado."
"v2","38","Si hay robo, juego a una pareja de fuera","1","REUBICAR","TRA","Juego exterior tras recuperación","","","Pareja exterior","","ALTA","PROPUESTO","Se extrae el objetivo transicional y se conserva el destinatario como contexto."
"v2","39","Cambio de chip","3","REVISAR","","","","","","","BAJA","PENDIENTE","Puede significar transición inmediata, reacción o ajuste posicional según el ejercicio."
