exercise_id,nombre,portada,animacion,duracion,tamano_portada,tamano_animacion,estado,observaciones
1,Rondo 3 vs 1,animations/1/portada.webp,animations/1/animacion.webm,8.00,2350,269128,OK,Ficha completa y referencia c581bf98df74d3f5.png revisadas; Rondo representado con objetivos Apoyos · Líneas de pase.
2,Rondo 5 vs 2,animations/2/portada.webp,animations/2/animacion.webm,8.00,2794,343834,OK,Ficha completa y referencia 21c41c315d525968.png revisadas; Rondo representado con objetivos Líneas de pase · Conservación de balón.
3,Rondo 4 vs 1 + Progresión,animations/3/portada.webp,animations/3/animacion.webm,8.00,2486,305584,OK,Ficha completa y referencia 2cb6aa0be23f1411.png revisadas; Rondo representado con objetivos Progresión · Conservación de balón.
4,Rondo 3 vs 1 + Progresión,animations/4/portada.webp,animations/4/animacion.webm,8.00,2710,313989,OK,Ficha completa y referencia 66c39574477446d2.png revisadas; Rondo representado con objetivos Pressing · Progresión.
5,Rondo 8 vs 4,animations/5/portada.webp,animations/5/animacion.webm,8.00,2644,371103,OK,Ficha completa y referencia 82e3a02e32c8904e.png revisadas; Rondo representado con objetivos Líneas de pase · Orientación de la presión.
6,Rondo 4 vs 4 + 3 Comodines,animations/6/portada.webp,animations/6/animacion.webm,8.00,2974,385536,OK,Ficha completa y referencia 0e5a80035394a44d.png revisadas; Rondo representado con objetivos Líneas de pase · Pases interiores.
7,Rondo 4 vs 1 + 1 Interior,animations/7/portada.webp,animations/7/animacion.webm,8.00,2634,324625,OK,Ficha completa y referencia 84735c18f68ba813.png revisadas; Rondo representado con objetivos Pases interiores · Conservación de balón.
8,Rondo 4 vs 1,animations/8/portada.webp,animations/8/animacion.webm,8.00,2332,286518,OK,Ficha completa y referencia 7d00d00e1a282618.png revisadas; Rondo representado con objetivos Conservación de balón · Apoyos.
9,Rondo 5 vs 2 en triángulo,animations/9/portada.webp,animations/9/animacion.webm,8.00,3950,364239,OK,Ficha completa y referencia c3fb2de011ef23ee.png revisadas; Rondo representado con objetivos Líneas de pase · Pases interiores.
10,Rondo 6 vs 2 por parejas,animations/10/portada.webp,animations/10/animacion.webm,8.00,2292,305630,OK,Ficha completa y referencia 15e206d81ff479e4.png revisadas; Rondo representado con objetivos Toma de decisiones · Líneas de pase.
